country,name,rank,region,staff_int,staff_tot,student_int,student_tot
United States,Massachusetts Institute of Technology (MIT),1,North America,1679.0,2982.0,3717.0,11067.0
United States,Stanford University,2,North America,2042.0,4285.0,3611.0,15878.0
United States,Harvard University,3,North America,1311.0,4350.0,5266.0,22429.0
United States,California Institute of Technology (Caltech),4,North America,350.0,953.0,647.0,2255.0
United Kingdom,University of Cambridge,5,Europe,2278.0,5490.0,6699.0,18770.0
United Kingdom,University of Oxford,6,Europe,2964.0,6750.0,7353.0,19720.0
United Kingdom,UCL (University College London),7,Europe,2554.0,6345.0,14854.0,31080.0
United Kingdom,Imperial College London,8,Europe,2071.0,3930.0,8746.0,16090.0
United States,University of Chicago,9,North America,635.0,2449.0,3379.0,13557.0
Switzerland,ETH Zurich - Swiss Federal Institute of Technology,10,Europe,1886.0,2477.0,7563.0,19815.0
Singapore,"Nanyang Technological University, Singapore (NTU)",11,Asia,2993.0,4338.0,7251.0,25738.0
Switzerland,Ecole Polytechnique Fédérale de Lausanne (EPFL),12,Europe,1300.0,1695.0,5896.0,10343.0
United States,Princeton University,13,North America,246.0,1007.0,1793.0,8069.0
United States,Cornell University,14,North America,970.0,2718.0,5411.0,21904.0
Singapore,National University of Singapore (NUS),15,Asia,3086.0,5106.0,8917.0,32728.0
United States,Yale University,16,North America,1708.0,4940.0,2469.0,12402.0
United States,Johns Hopkins University,17,North America,1061.0,4462.0,4105.0,16146.0
United States,Columbia University,18,North America,913.0,6189.0,8105.0,25045.0
United States,University of Pennsylvania,19,North America,1383.0,5499.0,4250.0,20639.0
Australia,The Australian National University,20,Oceania,927.0,1600.0,5551.0,14442.0
United States,University of Michigan,=21,North America,1920.0,6809.0,7527.0,43147.0
United States,Duke University,=21,North America,226.0,2938.0,2864.0,15320.0
United Kingdom,The University of Edinburgh,=23,Europe,1553.0,4075.0,10551.0,28040.0
United Kingdom,King's College London,=23,Europe,1513.0,3650.0,9451.0,23780.0
China,Tsinghua University,25,Asia,932.0,5506.0,4072.0,36300.0
Hong Kong,The University of Hong Kong,26,Asia,2085.0,3012.0,8230.0,20214.0
United States,"University of California, Berkeley (UCB)",27,North America,1395.0,3321.0,6086.0,36703.0
Japan,The University of Tokyo,=28,Asia,254.0,4514.0,2639.0,27279.0
United States,Northwestern University,=28,North America,1141.0,4231.0,3422.0,18675.0
Hong Kong,The Hong Kong University of Science and Technology,30,Asia,835.0,1150.0,2921.0,10375.0
Canada,University of Toronto,31,North America,3905.0,9581.0,21910.0,72207.0
Canada,McGill University,32,North America,1220.0,3646.0,9540.0,28837.0
United States,"University of California, Los Angeles (UCLA)",33,North America,662.0,2859.0,6887.0,40114.0
United Kingdom,The University of Manchester,34,Europe,1653.0,4910.0,13514.0,36670.0
United Kingdom,London School of Economics and Political Science (LSE),35,Europe,687.0,1088.0,6748.0,9760.0
Japan,Kyoto University,=36,Asia,293.0,4060.0,1990.0,22974.0
South Korea,Seoul National University,=36,Asia,433.0,3930.0,2331.0,28064.0
China,Peking University,=38,Asia,1038.0,5185.0,7090.0,42136.0
United States,"University of California, San Diego (UCSD)",=38,North America,870.0,3694.0,6644.0,32237.0
China,Fudan University,40,Asia,1178.0,4037.0,4680.0,29135.0
South Korea,KAIST - Korea Advanced Institute of Science & Technology,=41,Asia,147.0,1250.0,584.0,9826.0
Australia,The University of Melbourne,=41,Oceania,1477.0,3311.0,18030.0,42182.0
France,"Ecole normale supérieure, Paris",43,Europe,75.0,178.0,374.0,1907.0
United Kingdom,University of Bristol,44,Europe,942.0,2870.0,5099.0,20630.0
Australia,The University of New South Wales (UNSW Sydney),45,Oceania,1612.0,2924.0,14292.0,39784.0
Hong Kong,The Chinese University of Hong Kong (CUHK),46,Asia,1074.0,2208.0,4824.0,18037.0
Australia,The University of Queensland,=47,Oceania,1870.0,3158.0,10420.0,37497.0
United States,Carnegie Mellon University,=47,North America,425.0,1342.0,6385.0,13356.0
Hong Kong,City University of Hong Kong,49,Asia,1027.0,1349.0,3273.0,9240.0
Australia,The University of Sydney,50,Oceania,1829.0,3360.0,17030.0,46678.0
