date,type,deaths,injuries,location,city,country
2011-01-01,Suicide bombing,21.0,97.0,"Alexandria, Egypt",Alexandria,Egypt
2011-01-04,Assassination,1.0,0.0,"Islamabad, Pakistan",Islamabad,Pakistan
2011-01-04,Bombing,4.0,26.0,"Abuja, Nigeria",Abuja,Nigeria
2011-01-07,Kidnapping,9.0,,Niger,Unknown,Niger
2011-01-07,Suicide bombing,17.0,23.0,"Spin Boldak, Afghanistan",Spin Boldak,Afghanistan
2011-01-08,Ambush,16.0,14.0,"Lawdar, Lahij Yemen",Lawdar,Yemen
2011-01-11,Ambush,10.0,18.0,"South Kordofan, Sudan",South Kordofan,Sudan
2011-01-11,"Violence, fighting",1.0,4.0,"Abidjan, Ivory Coast",Abidjan,Ivory Coast
2011-01-11,"Shooting, riot",1.0,4.0,"Samalut, Egypt",Samalut,Egypt
2011-01-12,Bombing,2.0,7.0,"Peshawar, Pakistan",Peshawar,Pakistan
2011-01-12,Car bomb,17.0,20.0,"Bannu, Pakistan",Bannu,Pakistan
2011-01-12,Suicide bombing,4.0,30.0,"Kabul, Afghanistan",Kabul,Afghanistan
2011-01-13,Bombing,4.0,9.0,"Bannu, Bara, Pakistan",Bannu,Pakistan
2011-01-14,Shooting,6.0,3.0,"Hangu, Pakistan",Hangu,Pakistan
2011-01-14,Car bomb,4.0,8.0,"Khasavyurt, Dagestan, Russia",Khasavyurt,Russia
2011-01-15,Shooting/Targeted killing,39.0,40.0,"Karachi, Pakistan",Karachi,Pakistan
2011-01-16,Roadside bombings,15.0,0.0,"Baghlan Province, Helmand Province, Afghanistan",Baghlan,Afghanistan
2011-01-17,Bombing,18.0,11.0,"Hangu, Kohat, Pakistan",Hangu,Pakistan
2011-01-18,Shooting/Execution,4.0,0.0,"Hangu, Pakistan",Hangu,Pakistan
2011-01-18,Suicide bombing,66.0,100.0,"Tikrit, Iraq",Tikrit,Iraq
2011-01-19,Bombing,2.0,15.0,"Peshawar, Pakistan",Peshawar,Pakistan
2011-01-19,Car bombing,15.0,60.0,"Baquba, Diyala, Iraq",Baquba,Iraq
2011-01-19,Shooting/Raid,4.0,6.0,"Narathiwat, Rangae district, Thailand",Narathiwat,Thailand
2011-01-20,Suicide car bombing,50.0,150.0,"Karbala, Iraq",Karbala,Iraq
2011-01-20,Piracy/Hijacking,,24.0,Indian Ocean,Unknown,Indian Ocean
2011-01-20,Bombs,,,"Makiyivka, Ukraine",Makiyivka,Ukraine
2011-01-20,Ambush,6.0,2.0,"Kohat, Pakistan",Kohat,Pakistan
2011-01-20,Raid/Piracy/Hijacking,,3.0,Indian Ocean,Unknown,Indian Ocean
2011-01-15,Raid/Piracy/Hijacking,8.0,21.0,Indian Ocean,Unknown,Indian Ocean
2011-01-22,Improvised explosive device,3.0,7.0,"Orakzai, Pakistan",Orakzai,Pakistan
2011-01-23,Improvised explosive device,1.0,1.0,"Peshawar, Pakistan",Peshawar,Pakistan
2011-01-23,Car bombings,12.0,34.0,"Baghdad, Iraq",Baghdad,Iraq
2011-01-23,Ambush,3.0,4.0,"Hangu, Pakistan",Hangu,Pakistan
2011-01-24,Suicide bombing,37.0,180.0,"Domodedovo International Airport, Russia",Domodedovo International Airport,Russia
2011-01-24,Car bombing,25.0,70.0,"Karbala, Iraq",Karbala,Iraq
2011-01-25,Suicide bombings,17.0,50.0,"Lahore, Karachi, Pakistan",Lahore,Pakistan
2011-01-25,IED,9.0,2.0,"Yala Province, Thailand",Yala,Thailand
2011-01-25,Bombing,5.0,14.0,"Manila, Philippines",Manila,Philippines
2011-01-26,Car bomb,4.0,6.0,"Khasavyurt, Russia",Khasavyurt,Russia
2011-01-27,Killing,1.0,,"Kampala, Uganda",Kampala,Uganda
2011-01-27,Car Bomb,48.0,78.0,"Baghdad, Iraq",Baghdad,Iraq
2011-01-28,Suicide bombing,14.0,20.0,"Kabul, Afghanistan",Kabul,Afghanistan
2011-01-28,Suicide bombing,8.0,17.0,"Kohat, Pakistan",Kohat,Pakistan
2011-01-29,Ambush,2.0,6.0,"Khyber, Pakistan",Khyber,Pakistan
2011-01-31,Suicide bombing,6.0,14.0,"Peshawar, Pakistan",Peshawar,Pakistan
2011-01-31,Shooting,16.0,56.0,"Mogadishu, Somalia",Mogadishu,Somalia
2011-02-02,Car bombing,10.0,20.0,"Peshawar, Pakistan",Peshawar,Pakistan
2011-02-06,Riots,3.0,6.0,"Banten, Indonesia",Banten,Indonesia
2011-02-07,Ambush,1.0,7.0,"Hangu, Pakistan",Hangu,Pakistan
2011-02-08,IED,2.0,3.0,"Peshawar, Pakistan",Peshawar,Pakistan
2011-02-09,Car bombings,7.0,78.0,"Kirkuk, Iraq",Kirkuk,Iraq
2011-02-10,Suicide bombing,32.0,40.0,"Mardan, Pakistan",Mardan,Pakistan
2011-02-10,Car bombing,9.0,39.0,"Dujail, Iraq",Dujail,Iraq
2011-02-11,Violence,100.0,0.0,Prospective Southern Sudan,Unknown,Sudan
2011-02-12,Suicide bombing,48.0,80.0,"Samarra, Iraq",Samarra,Iraq
2011-02-12,Armed assault,19.0,49.0,"Kandahar, Afghanistan",Kandahar,Afghanistan
2011-02-13,Raid,7.0,5.0,"Zamboanga, Philippines",Zamboanga,Philippines
2011-02-13,Car bombing,0.0,18.0,"Yala, Thailand",Yala,Thailand
2011-02-14,Suicide bombing,2.0,2.0,"Kabul, Afghanistan",Kabul,Afghanistan
2011-02-14,Suicide bombings,3.0,25.0,"Gubden, Dagestan, Russia",Gubden,Russia
2011-02-15,Violence,100.0,0.0,Southern Sudan,Unknown,Sudan
2011-02-17,Car bombing,13.0,33.0,"Muqdadiya, Iraq",Muqdadiya,Iraq
2011-02-18,Car bombing,11.0,40.0,"Khost, Afghanistan",Khost,Afghanistan
2011-02-19,Armed assault,42.0,73.0,"Jalalabad, Afghanistan",Jalalabad,Afghanistan
2011-02-19,Armed assault,4.0,1.0,"Kabardino-Balkaria, Russia",Kabardino-Balkaria,Russia
2011-02-20,Military attack,15.0,,Pakistan,Unknown,Pakistan
2011-02-21,Car bombing,17.0,20.0,"Mogadishu, Somalia",Mogadishu,Somalia
2011-02-21,Suicide bombing,30.0,40.0,"Kunduz Province, Afghanistan",Kunduz,Afghanistan
2011-02-21,Car bombing,13.0,25.0,"Samarra, Iraq",Samarra,Iraq
2011-02-21,Armed assault,3.0,6.0,"Carongue, Senegal",Carongue,Senegal
2011-02-22,Ambush,4.0,7.0,"Hangu, Pakistan",Hangu,Pakistan
2011-02-23,Ambush,10.0,2.0,"Abidjan, Ivory Coast",Abidjan,Ivory Coast
2011-02-24,Car bombing,1.0,26.0,"Spin Boldak, Kandahar Province, Afghanistan",Spin Boldak,Afghanistan
2011-02-24,Suicide bombing,11.0,18.0,"Ramadi, Iraq",Ramadi,Iraq
2011-02-24,Airstrike,6.0,,"North Waziristan, Pakistan",Waziristan,Pakistan
2011-02-25,Armed assault,4.0,2.0,"Peshawar, Pakistan",Peshawar,Pakistan
2011-02-26,Armed assault,4.0,6.0,"Baiji, Iraq",Baiji,Iraq
2011-02-26,Suicide bombing/Roadside bombing,13.0,19.0,"Faryab Province, Khost Province, Afghanistan",Yab,Afghanistan
2011-02-26,Suicide bombing,1.0,0.0,"Moscow, Russia",Moscow,Russia
2011-02-27,Bombings,14.0,20.0,"Kandahar City, Kandahar Province, Afghanistan",Kandahar City,Afghanistan
2011-02-28,"Shooting, raid",6.0,,"Borno State, Nigeria",Borno State,Nigeria
2011-03-01,Armed assault,1.0,35.0,"Mardan, Pakistan",Mardan,Pakistan
2011-03-02,Ambush,1.0,0.0,"Islamabad, Pakistan",Islamabad,Pakistan
2011-03-02,Shooting,2.0,2.0,"Frankfurt, Germany",Frankfurt,Germany
2011-03-03,Car bombing,9.0,30.0,"Hangu, Pakistan",Hangu,Pakistan
2011-03-03,Suicide bombing,10.0,26.0,"Haditha, Iraq",Haditha,Iraq
2011-03-03,Ambush,6.0,3.0,"Khyber, Pakistan",Khyber,Pakistan
2011-03-03,Bombing,13.0,11.0,"Abuja, Nigeria",Abuja,Nigeria
2011-03-03,Drone bombing,9.0,0.0,"Pech valley, Kunar province, Afghanistan",Pech Valley,Afghanistan
2011-03-03,Bomb,0.0,0.0,"Antananarivo, Madagascar",Antananarivo,Madagascar
2011-03-04,Bombing,11.0,40.0,"Nowshera, Pakistan",Nowshera,Pakistan
2011-03-06,Roadside bombing,12.0,5.0,"Paktika Province, Afghanistan",Paktika,Afghanistan
2011-03-06,Ambush,5.0,0.0,"Ma'rib Governorate, Yemen",Ma'Rib Governorate,Yemen
2011-03-06,Roadside bombing,6.0,12.0,"Basra, Iraq",Basra,Iraq
2011-03-08,Car bombing,25.0,131.0,"Faisalabad, Pakistan",Faisalabad,Pakistan
2011-03-08,Airstrike,5.0,,"South Waziristan, Pakistan",South Waziristan,Pakistan
2011-03-09,Suicide bombing,43.0,100.0,"Peshawar, Pakistan",Peshawar,Pakistan
2011-03-09,Roadside bombing,6.0,19.0,"Balochistan Province, Pakistan",Balochistan,Pakistan
2011-03-09,Bombing,0.0,0.0,"Moscow, Russia",Moscow,Russia
2011-03-10,Suicide bombing,5.0,10.0,"Kunduz, Kunduz Province, Afghanistan",Kunduz,Afghanistan
2011-03-10,Roadside bombing,3.0,13.0,"Dera Murad Jamali, Balochistan Province, Pakistan",Dera Murad Jamali,Pakistan
2011-03-10,Shootings,3.0,0.0,"Karachi, Pakistan",Karachi,Pakistan
2011-03-11,Bombings,0.0,0.0,"Moscow, Russia",Moscow,Russia
2011-03-11,Shootings,4.0,0.0,"Karachi, Pakistan",Karachi,Pakistan
2011-03-11,Airstrike,5.0,,"North Waziristan, Pakistan",Waziristan,Pakistan
2011-03-12,Ambush,6.0,0.0,"Balochistan Province, Pakistan",Balochistan,Pakistan
2011-03-12,Ambush,7.0,1.0,"near Mosul, Iraq",Mosul,Iraq
2011-03-13,Ambush,8.0,7.0,"Hangu, Pakistan",Hangu,Pakistan
2011-03-14,Suicide bombing,10.0,29.0,"Baqouba, Iraq",Baqouba,Iraq
2011-03-14,Suicide bombing,37.0,42.0,"Kunduz, Kunduz Province, Afghanistan",Kunduz,Afghanistan
2011-03-14,Airstrike,6.0,,"North Waziristan, Pakistan",Waziristan,Pakistan
2011-03-16,Airstrike,5.0,,"Datta Khel, Pakistan",Datta Khel,Pakistan
2011-03-17,Airstrike,41.0,,"North Waziristan, Pakistan",Waziristan,Pakistan
